location_id,n_amb,n_int,med_amb,med_int,dT_med
yyc-c2-r200,159,146,14.0,12.5,-1.5
yyc-c2-r202,152,138,12.0,11.0,-1.0
yyc-c2-r204,155,143,13.0,12.0,-1.0
yyc-c2-r206,157,143,14.0,12.0,-2.0
yyc-c2-r212,167,156,12.0,12.0,0.0
yyc-c2-r214,177,160,14.0,12.0,-2.0
yyc-c2-r216,164,148,13.0,12.0,-1.0
yyc-c2-r218,163,149,12.0,11.0,-1.0
yyc-c2-r220,166,153,11.5,10.0,-1.5
yyc-c2-r222,170,155,13.0,12.0,-1.0
yyc-c2-r224,160,145,12.5,11.0,-1.5
yyc-c2-r226,158,144,12.5,11.0,-1.5
yyc-c2-r228,159,143,12.0,11.0,-1.0
yyc-c2-r234,149,134,13.0,11.0,-2.0
yyc-c2-r236,156,142,12.0,10.5,-1.5
yyc-c2-r238,151,137,11.0,10.0,-1.0
yyc-c2-r240,166,147,13.0,11.0,-2.0
yyc-c2-r242,163,147,13.0,11.0,-2.0
yyc-c2-r244,169,156,11.0,11.0,0.0
yyc-c2-r246,167,151,13.0,11.0,-2.0
yyc-c2-r248,168,153,12.0,11.0,-1.0
yyc-c2-r250,157,143,13.0,11.0,-2.0
yyc-c2-r256,159,143,13.0,11.0,-2.0
yyc-c2-r258,164,148,12.0,11.0,-1.0
yyc-c2-r260,170,154,13.0,12.0,-1.0
yyc-c2-r262,162,149,13.0,12.0,-1.0
yyc-c2-r264,170,151,13.0,11.0,-2.0
yyc-c2-r300,134,124,11.0,11.0,0.0
yyc-c2-r302,132,124,10.0,10.0,0.0
yyc-c2-r304,158,145,12.0,11.0,-1.0
yyc-c2-r306,164,147,13.0,11.0,-2.0
yyc-c2-r333,167,153,13.0,12.0,-1.0
yyc-c2-r335,164,148,13.0,12.0,-1.0
yyc-c2-r337,166,152,13.0,12.0,-1.0
yyc-c2-r339,163,146,12.0,10.5,-1.5
yyc-c2-r4,101,93,12.0,11.0,-1.0
yyc-c2-r40,157,146,11.0,9.5,-1.5
yyc-c2-r42,152,142,11.0,10.0,-1.0
yyc-c2-r44,156,144,12.0,10.5,-1.5
yyc-c2-r46,140,126,12.5,11.0,-1.5
yyc-c2-r48,146,134,13.0,12.0,-1.0
yyc-c2-r50,144,132,12.0,11.0,-1.0
yyc-c2-r6,106,100,12.0,12.0,0.0
yyc-c2-r78,155,141,12.0,11.0,-1.0
yyc-c2-r8,102,94,12.5,12.0,-0.5
yyc-c2-r80,142,128,12.0,11.0,-1.0
yyc-c2-r82,137,119,13.0,11.0,-2.0
yyc-c2-r84,115,105,11.0,10.0,-1.0
yyc-c2-r86,126,115,11.0,10.0,-1.0
yyc-c2-r88,119,107,11.0,10.0,-1.0
